Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),EV CHARGING POWER DRAW:Schedule Value [](TimeStep),EV CHARGING POWER DRAW COPY:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 01/01  01:00:00,,0.069883906,0.069883906,114426229.6,20437611.99
 01/01  02:00:00,,0.014113362,0.014113362,61853240.55,7212348.775
 01/01  03:00:00,,0.007056681,0.007056681,139255222.4,28245953.6
 01/01  04:00:00,,0.007056681,0.007056681,61837847.45,7212348.775
 01/01  05:00:00,,0.007056681,0.007056681,152483455.2,26883259.49
 01/01  06:00:00,,0.072160255,0.072160255,61837847.45,11110221.1
 01/01  07:00:00,,0.039836103,0.039836103,176292851.4,30422962.77
 01/01  08:00:00,,0.067379923,0.067379923,49461037.1,9228872.53
 01/01  09:00:00,,0.125426815,0.125426815,98544823.78,31540113.24
 01/01  10:00:00,,0.162303665,0.162303665,48828972.78,11164187.84
 01/01  11:00:00,,0.240382427,0.240382427,77108501.25,21809199.08
 01/01  12:00:00,,0.248577282,0.248577282,53138283.19,11212442.66
 01/01  13:00:00,,0.215114956,0.215114956,64028492.82,13363049.91
 01/01  14:00:00,,0.318233553,0.318233553,54540273.21,15203499.2
 01/01  15:00:00,,0.329387662,0.329387662,57508545.5,11820539.3
 01/01  16:00:00,,0.247894377,0.247894377,49300817.35,7212348.775
 01/01  17:00:00,,0.285454132,0.285454132,62520090.76,13957270.61
 01/01  18:00:00,,0.241520601,0.241520601,78623076.48,11160344.74
 01/01  19:00:00,,0.226269064,0.226269064,92198054.42,19315555
 01/01  20:00:00,,0.223309811,0.223309811,79230910.49,7212348.775
 01/01  21:00:00,,0.165262918,0.165262918,96275296.48,18820033.36
 01/01  22:00:00,,0.160710221,0.160710221,82647505.31,11110004.73
 01/01  23:00:00,,0.117914865,0.117914865,103125407.8,20525773.53
 01/01  24:00:00,,0.086273617,0.086273617,84789516.42,7212348.775
 01/02  01:00:00,,0.240837696,0.240837696,108867908.7,25295522.29
 01/02  02:00:00,,0.173913043,0.173913043,86843104.08,7212348.775
 01/02  03:00:00,,0.137491464,0.137491464,109396992.1,21905362.23
 01/02  04:00:00,,0.092875028,0.092875028,88047739.97,11110011.36
 01/02  05:00:00,,0.079899841,0.079899841,112642570.4,22500975.07
 01/02  06:00:00,,0.122695197,0.122695197,391465914.2,7212348.775
 01/02  07:00:00,,0.156612793,0.156612793,655135933,22892925.23
 01/02  08:00:00,,0.218074209,0.218074209,643360981.5,189013672.9
 01/02  09:00:00,,0.446164352,0.446164352,679396023,173185162.7
 01/02  10:00:00,,0.493512406,0.493512406,567582231.7,141219513
